"paper","label","numeric"
10430,"Case_Based",7
39403,"Reinforcement_Learning",3
40,"Genetic_Algorithms",6
282700,"Neural_Networks",1
1105116,"Probabilistic_Methods",4
35854,"Theory",5
63477,"Case_Based",7
124064,"Reinforcement_Learning",3
1120431,"Neural_Networks",1
949318,"Neural_Networks",1
649944,"Rule_Learning",2
63486,"Theory",5
1153866,"Rule_Learning",2
1140040,"Neural_Networks",1
1112426,"Neural_Networks",1
239800,"Theory",5
1131314,"Probabilistic_Methods",4
1153891,"Case_Based",7
1129835,"Rule_Learning",2
310653,"Probabilistic_Methods",4
1130600,"Reinforcement_Learning",3
1111733,"Neural_Networks",1
210871,"Genetic_Algorithms",6
210872,"Genetic_Algorithms",6
1132083,"Neural_Networks",1
132806,"Genetic_Algorithms",6
12631,"Neural_Networks",1
12638,"Neural_Networks",1
38771,"Neural_Networks",1
232605,"Rule_Learning",2
232606,"Rule_Learning",2
1107312,"Reinforcement_Learning",3
1114605,"Neural_Networks",1
68505,"Theory",5
133553,"Neural_Networks",1
144408,"Neural_Networks",1
23502,"Neural_Networks",1
1108050,"Neural_Networks",1
23507,"Neural_Networks",1
83826,"Neural_Networks",1
133563,"Neural_Networks",1
85299,"Neural_Networks",1
49660,"Theory",5
593060,"Genetic_Algorithms",6
341188,"Reinforcement_Learning",3
714975,"Probabilistic_Methods",4
1115375,"Neural_Networks",1
95435,"Reinforcement_Learning",3
145176,"Neural_Networks",1
1113934,"Case_Based",7
1132809,"Rule_Learning",2
22835,"Neural_Networks",1
1153148,"Probabilistic_Methods",4
41714,"Genetic_Algorithms",6
1118245,"Reinforcement_Learning",3
1152436,"Case_Based",7
1153166,"Case_Based",7
1153169,"Rule_Learning",2
38000,"Rule_Learning",2
1152448,"Case_Based",7
1137140,"Neural_Networks",1
30895,"Theory",5
5966,"Genetic_Algorithms",6
1136422,"Neural_Networks",1
27174,"Neural_Networks",1
1128407,"Case_Based",7
1124844,"Neural_Networks",1
1153195,"Neural_Networks",1
1113995,"Neural_Networks",1
1136442,"Neural_Networks",1
8821,"Case_Based",7
46079,"Genetic_Algorithms",6
119761,"Neural_Networks",1
1111052,"Reinforcement_Learning",3
315789,"Genetic_Algorithms",6
1108841,"Neural_Networks",1
1135746,"Theory",5
100935,"Genetic_Algorithms",6
353541,"Neural_Networks",1
60682,"Case_Based",7
253762,"Probabilistic_Methods",4
8872,"Reinforcement_Learning",3
714260,"Probabilistic_Methods",4
137956,"Rule_Learning",2
35922,"Probabilistic_Methods",4
2354,"Theory",5
168410,"Reinforcement_Learning",3
346292,"Neural_Networks",1
1153933,"Neural_Networks",1
1119751,"Theory",5
17798,"Case_Based",7
400356,"Neural_Networks",1
10531,"Neural_Networks",1
1110390,"Case_Based",7
714289,"Probabilistic_Methods",4
733167,"Neural_Networks",1
81714,"Case_Based",7
428610,"Neural_Networks",1
552469,"Theory",5
164885,"Genetic_Algorithms",6
81722,"Case_Based",7
111866,"Theory",5
194617,"Neural_Networks",1
93318,"Neural_Networks",1
134307,"Probabilistic_Methods",4
203646,"Neural_Networks",1
367312,"Neural_Networks",1
650814,"Genetic_Algorithms",6
93320,"Reinforcement_Learning",3
134315,"Probabilistic_Methods",4
134316,"Probabilistic_Methods",4
976334,"Reinforcement_Learning",3
1095507,"Probabilistic_Methods",4
134320,"Probabilistic_Methods",4
662416,"Probabilistic_Methods",4
194645,"Reinforcement_Learning",3
1131421,"Neural_Networks",1
161221,"Neural_Networks",1
38839,"Case_Based",7
38846,"Case_Based",7
133615,"Rule_Learning",2
1112574,"Theory",5
521207,"Case_Based",7
3828,"Case_Based",7
593105,"Genetic_Algorithms",6
390693,"Neural_Networks",1
642847,"Probabilistic_Methods",4
1122704,"Neural_Networks",1
4584,"Reinforcement_Learning",3
7419,"Reinforcement_Learning",3
30901,"Theory",5
1115456,"Neural_Networks",1
7432,"Reinforcement_Learning",3
573553,"Theory",5
1022969,"Case_Based",7
143801,"Neural_Networks",1
612306,"Rule_Learning",2
417017,"Case_Based",7
396412,"Neural_Networks",1
1107455,"Reinforcement_Learning",3
91975,"Reinforcement_Learning",3
180187,"Rule_Learning",2
27203,"Theory",5
1152508,"Genetic_Algorithms",6
69392,"Neural_Networks",1
1118332,"Neural_Networks",1
189577,"Probabilistic_Methods",4
1114777,"Case_Based",7
75969,"Rule_Learning",2
1132922,"Neural_Networks",1
1153254,"Rule_Learning",2
1117618,"Theory",5
6767,"Case_Based",7
27241,"Theory",5
27246,"Neural_Networks",1
95589,"Reinforcement_Learning",3
6771,"Theory",5
86840,"Theory",5
108962,"Probabilistic_Methods",4
6786,"Probabilistic_Methods",4
108963,"Probabilistic_Methods",4
108974,"Probabilistic_Methods",4
1117653,"Neural_Networks",1
1152569,"Genetic_Algorithms",6
1132968,"Neural_Networks",1
370366,"Neural_Networks",1
108983,"Probabilistic_Methods",4
399339,"Reinforcement_Learning",3
64319,"Theory",5
1110426,"Rule_Learning",2
1102407,"Neural_Networks",1
1127812,"Neural_Networks",1
1128542,"Neural_Networks",1
65057,"Probabilistic_Methods",4
159084,"Neural_Networks",1
159085,"Neural_Networks",1
65074,"Probabilistic_Methods",4
33895,"Genetic_Algorithms",6
2440,"Rule_Learning",2
1717,"Probabilistic_Methods",4
249421,"Neural_Networks",1
3187,"Probabilistic_Methods",4
591016,"Rule_Learning",2
1110494,"Neural_Networks",1
29492,"Neural_Networks",1
400473,"Neural_Networks",1
644334,"Probabilistic_Methods",4
949511,"Neural_Networks",1
205192,"Neural_Networks",1
763009,"Neural_Networks",1
169280,"Neural_Networks",1
1120643,"Genetic_Algorithms",6
645088,"Probabilistic_Methods",4
5348,"Neural_Networks",1
124296,"Neural_Networks",1
1121398,"Genetic_Algorithms",6
950305,"Neural_Networks",1
567018,"Neural_Networks",1
52000,"Neural_Networks",1
52003,"Neural_Networks",1
52007,"Neural_Networks",1
58540,"Reinforcement_Learning",3
436796,"Neural_Networks",1
948846,"Neural_Networks",1
8213,"Reinforcement_Learning",3
671293,"Probabilistic_Methods",4
1131550,"Genetic_Algorithms",6
899119,"Rule_Learning",2
1105394,"Reinforcement_Learning",3
85452,"Theory",5
1112686,"Probabilistic_Methods",4
69418,"Neural_Networks",1
8224,"Theory",5
145315,"Rule_Learning",2
575077,"Genetic_Algorithms",6
20850,"Theory",5
44017,"Theory",5
1135125,"Neural_Networks",1
286562,"Neural_Networks",1
1123553,"Reinforcement_Learning",3
1135137,"Neural_Networks",1
325314,"Neural_Networks",1
662572,"Neural_Networks",1
159897,"Probabilistic_Methods",4
1130856,"Genetic_Algorithms",6
96335,"Neural_Networks",1
755082,"Probabilistic_Methods",4
1123576,"Neural_Networks",1
1103979,"Neural_Networks",1
593260,"Genetic_Algorithms",6
601567,"Rule_Learning",2
1119140,"Neural_Networks",1
189655,"Probabilistic_Methods",4
31769,"Neural_Networks",1
1107567,"Theory",5
88356,"Probabilistic_Methods",4
1033,"Genetic_Algorithms",6
1034,"Genetic_Algorithms",6
1106849,"Neural_Networks",1
16470,"Neural_Networks",1
35343,"Neural_Networks",1
16471,"Neural_Networks",1
1154074,"Neural_Networks",1
16476,"Neural_Networks",1
23774,"Reinforcement_Learning",3
16485,"Neural_Networks",1
136665,"Reinforcement_Learning",3
94953,"Neural_Networks",1
9708,"Case_Based",7
38205,"Genetic_Algorithms",6
645897,"Probabilistic_Methods",4
216877,"Rule_Learning",2
18619,"Theory",5
559804,"Probabilistic_Methods",4
6898,"Neural_Networks",1
166420,"Theory",5
787016,"Genetic_Algorithms",6
73146,"Probabilistic_Methods",4
1136634,"Theory",5
1111230,"Reinforcement_Learning",3
3218,"Rule_Learning",2
3229,"Neural_Networks",1
193347,"Rule_Learning",2
84020,"Probabilistic_Methods",4
3231,"Theory",5
52847,"Theory",5
193352,"Rule_Learning",2
193354,"Rule_Learning",2
1110531,"Case_Based",7
686532,"Neural_Networks",1
711598,"Theory",5
1063773,"Neural_Networks",1
3243,"Theory",5
78994,"Neural_Networks",1
181782,"Reinforcement_Learning",3
284414,"Case_Based",7
114189,"Probabilistic_Methods",4
686559,"Neural_Networks",1
253971,"Neural_Networks",1
1106103,"Case_Based",7
1114125,"Reinforcement_Learning",3
75318,"Neural_Networks",1
45599,"Genetic_Algorithms",6
97892,"Case_Based",7
446271,"Probabilistic_Methods",4
1106112,"Reinforcement_Learning",3
280876,"Probabilistic_Methods",4
12182,"Theory",5
175909,"Case_Based",7
64484,"Reinforcement_Learning",3
6125,"Theory",5
1120713,"Case_Based",7
1114153,"Neural_Networks",1
12197,"Theory",5
248823,"Reinforcement_Learning",3
919885,"Neural_Networks",1
94229,"Neural_Networks",1
1120731,"Reinforcement_Learning",3
23069,"Probabilistic_Methods",4
6151,"Reinforcement_Learning",3
6155,"Reinforcement_Learning",3
23070,"Probabilistic_Methods",4
644448,"Probabilistic_Methods",4
1112723,"Neural_Networks",1
31097,"Case_Based",7
6169,"Reinforcement_Learning",3
1106172,"Reinforcement_Learning",3
6170,"Reinforcement_Learning",3
211875,"Neural_Networks",1
1109017,"Genetic_Algorithms",6
5454,"Neural_Networks",1
6184,"Reinforcement_Learning",3
10796,"Case_Based",7
10798,"Case_Based",7
1120777,"Neural_Networks",1
86258,"Theory",5
154134,"Case_Based",7
6196,"Reinforcement_Learning",3
20920,"Probabilistic_Methods",4
20923,"Probabilistic_Methods",4
22386,"Case_Based",7
1131639,"Neural_Networks",1
77515,"Theory",5
93555,"Neural_Networks",1
17201,"Reinforcement_Learning",3
644494,"Probabilistic_Methods",4
17208,"Reinforcement_Learning",3
1125082,"Genetic_Algorithms",6
1131647,"Neural_Networks",1
74698,"Probabilistic_Methods",4
13652,"Neural_Networks",1
20942,"Theory",5
390894,"Probabilistic_Methods",4
390896,"Probabilistic_Methods",4
1125092,"Reinforcement_Learning",3
13656,"Neural_Networks",1
1116347,"Reinforcement_Learning",3
13658,"Neural_Networks",1
114966,"Neural_Networks",1
120013,"Neural_Networks",1
1117089,"Reinforcement_Learning",3
57948,"Theory",5
334153,"Theory",5
160732,"Rule_Learning",2
1154103,"Probabilistic_Methods",4
12946,"Probabilistic_Methods",4
1104787,"Neural_Networks",1
17242,"Probabilistic_Methods",4
321861,"Theory",5
189721,"Probabilistic_Methods",4
1119211,"Neural_Networks",1
12960,"Theory",5
95718,"Theory",5
6910,"Neural_Networks",1
180373,"Neural_Networks",1
6917,"Rule_Learning",2
358884,"Theory",5
887,"Genetic_Algorithms",6
180399,"Neural_Networks",1
358894,"Theory",5
1154169,"Neural_Networks",1
120084,"Neural_Networks",1
1120019,"Neural_Networks",1
1152711,"Neural_Networks",1
1154176,"Genetic_Algorithms",6
424540,"Neural_Networks",1
1118546,"Probabilistic_Methods",4
643003,"Probabilistic_Methods",4
112099,"Case_Based",7
1104007,"Theory",5
1120049,"Neural_Networks",1
175256,"Genetic_Algorithms",6
45605,"Genetic_Algorithms",6
15889,"Case_Based",7
35490,"Case_Based",7
221302,"Case_Based",7
562123,"Neural_Networks",1
1104031,"Case_Based",7
1129442,"Neural_Networks",1
1129443,"Neural_Networks",1
1137466,"Genetic_Algorithms",6
328370,"Neural_Networks",1
1103315,"Reinforcement_Learning",3
12210,"Theory",5
1104055,"Theory",5
64519,"Reinforcement_Learning",3
114,"Reinforcement_Learning",3
1109873,"Neural_Networks",1
128,"Reinforcement_Learning",3
12238,"Theory",5
1112099,"Theory",5
18774,"Probabilistic_Methods",4
18777,"Probabilistic_Methods",4
130,"Reinforcement_Learning",3
23116,"Theory",5
948299,"Neural_Networks",1
6209,"Reinforcement_Learning",3
197054,"Reinforcement_Learning",3
6210,"Reinforcement_Learning",3
6213,"Reinforcement_Learning",3
6214,"Reinforcement_Learning",3
6216,"Reinforcement_Learning",3
6217,"Reinforcement_Learning",3
2653,"Theory",5
2658,"Neural_Networks",1
753047,"Theory",5
188318,"Neural_Networks",1
74700,"Probabilistic_Methods",4
67415,"Theory",5
6220,"Reinforcement_Learning",3
2665,"Neural_Networks",1
28957,"Probabilistic_Methods",4
143323,"Case_Based",7
340075,"Neural_Networks",1
1949,"Case_Based",7
1953,"Case_Based",7
1955,"Case_Based",7
1959,"Case_Based",7
390922,"Probabilistic_Methods",4
22431,"Rule_Learning",2
1113541,"Neural_Networks",1
1132418,"Neural_Networks",1
628500,"Reinforcement_Learning",3
648106,"Neural_Networks",1
1104809,"Neural_Networks",1
4804,"Theory",5
648112,"Neural_Networks",1
33301,"Case_Based",7
33303,"Case_Based",7
267824,"Neural_Networks",1
1138970,"Theory",5
13717,"Rule_Learning",2
1131719,"Rule_Learning",2
1120866,"Neural_Networks",1
1106287,"Neural_Networks",1
755217,"Reinforcement_Learning",3
647408,"Genetic_Algorithms",6
1116410,"Case_Based",7
1132459,"Neural_Networks",1
1105574,"Neural_Networks",1
1133196,"Genetic_Algorithms",6
307336,"Neural_Networks",1
906,"Neural_Networks",1
1131745,"Neural_Networks",1
1131748,"Neural_Networks",1
910,"Neural_Networks",1
943,"Case_Based",7
31927,"Neural_Networks",1
101261,"Theory",5
101263,"Theory",5
31932,"Neural_Networks",1
779960,"Neural_Networks",1
1135358,"Theory",5
1154230,"Probabilistic_Methods",4
1135368,"Neural_Networks",1
28227,"Reinforcement_Learning",3
32688,"Neural_Networks",1
189856,"Probabilistic_Methods",4
27510,"Theory",5
27514,"Neural_Networks",1
1154276,"Neural_Networks",1
27530,"Neural_Networks",1
1152821,"Neural_Networks",1
28265,"Case_Based",7
103430,"Neural_Networks",1
27543,"Neural_Networks",1
39126,"Probabilistic_Methods",4
28278,"Reinforcement_Learning",3
39131,"Case_Based",7
10169,"Theory",5
28287,"Reinforcement_Learning",3
1129518,"Probabilistic_Methods",4
1272,"Theory",5
194223,"Probabilistic_Methods",4
10177,"Theory",5
18811,"Probabilistic_Methods",4
18812,"Probabilistic_Methods",4
73327,"Case_Based",7
1117942,"Reinforcement_Learning",3
15984,"Probabilistic_Methods",4
202522,"Probabilistic_Methods",4
1152858,"Probabilistic_Methods",4
1152859,"Neural_Networks",1
10183,"Case_Based",7
81350,"Reinforcement_Learning",3
259126,"Neural_Networks",1
13024,"Rule_Learning",2
1120170,"Reinforcement_Learning",3
46452,"Rule_Learning",2
26850,"Neural_Networks",1
18832,"Reinforcement_Learning",3
18833,"Reinforcement_Learning",3
82098,"Genetic_Algorithms",6
103482,"Neural_Networks",1
158614,"Theory",5
46468,"Probabilistic_Methods",4
71904,"Neural_Networks",1
80656,"Neural_Networks",1
29708,"Neural_Networks",1
1128839,"Neural_Networks",1
1128846,"Neural_Networks",1
12330,"Neural_Networks",1
240321,"Neural_Networks",1
1128853,"Rule_Learning",2
219976,"Case_Based",7
38480,"Reinforcement_Learning",3
12350,"Theory",5
1104191,"Neural_Networks",1
7022,"Neural_Networks",1
63931,"Rule_Learning",2
68224,"Neural_Networks",1
1110768,"Neural_Networks",1
384428,"Neural_Networks",1
1107041,"Case_Based",7
1114352,"Neural_Networks",1
1107062,"Genetic_Algorithms",6
288,"Reinforcement_Learning",3
1107067,"Case_Based",7
91581,"Probabilistic_Methods",4
39904,"Neural_Networks",1
6334,"Case_Based",7
123825,"Neural_Networks",1
23258,"Reinforcement_Learning",3
66805,"Genetic_Algorithms",6
6346,"Case_Based",7
55968,"Reinforcement_Learning",3
368431,"Theory",5
179702,"Neural_Networks",1
1140547,"Neural_Networks",1
1114388,"Theory",5
90888,"Neural_Networks",1
510715,"Probabilistic_Methods",4
33412,"Neural_Networks",1
188471,"Reinforcement_Learning",3
1152143,"Theory",5
1120962,"Neural_Networks",1
1125258,"Neural_Networks",1
648232,"Neural_Networks",1
143476,"Probabilistic_Methods",4
1152150,"Neural_Networks",1
1117249,"Theory",5
25413,"Rule_Learning",2
1152162,"Neural_Networks",1
241821,"Neural_Networks",1
350362,"Theory",5
1116530,"Probabilistic_Methods",4
61069,"Genetic_Algorithms",6
1110000,"Probabilistic_Methods",4
646809,"Genetic_Algorithms",6
1105698,"Probabilistic_Methods",4
1152194,"Neural_Networks",1
198653,"Genetic_Algorithms",6
1116569,"Neural_Networks",1
77758,"Neural_Networks",1
854434,"Neural_Networks",1
1128151,"Genetic_Algorithms",6
1123867,"Theory",5
191404,"Probabilistic_Methods",4
1116594,"Neural_Networks",1
126793,"Probabilistic_Methods",4
43639,"Neural_Networks",1
44368,"Genetic_Algorithms",6
97390,"Genetic_Algorithms",6
87915,"Probabilistic_Methods",4
131117,"Neural_Networks",1
8581,"Neural_Networks",1
27606,"Theory",5
1115886,"Reinforcement_Learning",3
184157,"Reinforcement_Learning",3
8594,"Rule_Learning",2
1152904,"Neural_Networks",1
1120211,"Neural_Networks",1
28350,"Reinforcement_Learning",3
1152910,"Reinforcement_Learning",3
27627,"Theory",5
649731,"Neural_Networks",1
308920,"Probabilistic_Methods",4
289780,"Genetic_Algorithms",6
289781,"Genetic_Algorithms",6
19621,"Neural_Networks",1
1129608,"Neural_Networks",1
1365,"Neural_Networks",1
103543,"Probabilistic_Methods",4
28387,"Reinforcement_Learning",3
28389,"Reinforcement_Learning",3
43698,"Neural_Networks",1
54550,"Case_Based",7
1129621,"Neural_Networks",1
46536,"Neural_Networks",1
1129629,"Genetic_Algorithms",6
294126,"Rule_Learning",2
568857,"Genetic_Algorithms",6
447224,"Genetic_Algorithms",6
38537,"Probabilistic_Methods",4
1152975,"Case_Based",7
34979,"Theory",5
1104261,"Theory",5
139865,"Neural_Networks",1
56709,"Genetic_Algorithms",6
1128945,"Genetic_Algorithms",6
19697,"Neural_Networks",1
107177,"Theory",5
1131165,"Probabilistic_Methods",4
1128959,"Genetic_Algorithms",6
152219,"Neural_Networks",1
184918,"Neural_Networks",1
16008,"Probabilistic_Methods",4
1122425,"Reinforcement_Learning",3
928873,"Neural_Networks",1
206259,"Reinforcement_Learning",3
714748,"Probabilistic_Methods",4
1131189,"Probabilistic_Methods",4
217115,"Theory",5
560936,"Neural_Networks",1
1131198,"Genetic_Algorithms",6
1128985,"Genetic_Algorithms",6
466170,"Neural_Networks",1
429805,"Case_Based",7
561674,"Neural_Networks",1
654177,"Case_Based",7
95225,"Theory",5
37884,"Probabilistic_Methods",4
37888,"Probabilistic_Methods",4
1128997,"Genetic_Algorithms",6
545647,"Theory",5
42207,"Theory",5
42209,"Theory",5
82920,"Genetic_Algorithms",6
128202,"Theory",5
128203,"Theory",5
1134056,"Neural_Networks",1
1102873,"Neural_Networks",1
42221,"Theory",5
1107171,"Case_Based",7
1133338,"Genetic_Algorithms",6
67633,"Case_Based",7
375825,"Probabilistic_Methods",4
48781,"Genetic_Algorithms",6
75674,"Reinforcement_Learning",3
289088,"Neural_Networks",1
1152244,"Case_Based",7
13917,"Reinforcement_Learning",3
75695,"Neural_Networks",1
34257,"Neural_Networks",1
1117348,"Neural_Networks",1
574710,"Genetic_Algorithms",6
34263,"Neural_Networks",1
1128204,"Genetic_Algorithms",6
34266,"Neural_Networks",1
1128208,"Genetic_Algorithms",6
1116629,"Neural_Networks",1
110162,"Case_Based",7
110163,"Case_Based",7
110164,"Case_Based",7
628751,"Neural_Networks",1
708945,"Neural_Networks",1
1123926,"Theory",5
1152277,"Neural_Networks",1
77826,"Case_Based",7
77829,"Case_Based",7
8617,"Neural_Networks",1
242663,"Probabilistic_Methods",4
8619,"Neural_Networks",1
628764,"Neural_Networks",1
628766,"Neural_Networks",1
1125393,"Case_Based",7
66986,"Neural_Networks",1
646913,"Genetic_Algorithms",6
578309,"Neural_Networks",1
18251,"Case_Based",7
1152290,"Theory",5
954315,"Rule_Learning",2
212107,"Probabilistic_Methods",4
578337,"Neural_Networks",1
907845,"Neural_Networks",1
1127530,"Probabilistic_Methods",4
1128267,"Reinforcement_Learning",3
28412,"Reinforcement_Learning",3
594387,"Genetic_Algorithms",6
1127541,"Neural_Networks",1
44455,"Genetic_Algorithms",6
45188,"Theory",5
45189,"Theory",5
62607,"Rule_Learning",2
1127551,"Probabilistic_Methods",4
1123991,"Probabilistic_Methods",4
1127558,"Probabilistic_Methods",4
105057,"Theory",5
1128291,"Genetic_Algorithms",6
1127566,"Probabilistic_Methods",4
1154459,"Genetic_Algorithms",6
218682,"Case_Based",7
28447,"Case_Based",7
1153736,"Theory",5
62634,"Genetic_Algorithms",6
211432,"Theory",5
112378,"Case_Based",7
1113035,"Neural_Networks",1
1118848,"Neural_Networks",1
137790,"Theory",5
217984,"Neural_Networks",1
949217,"Neural_Networks",1
28473,"Reinforcement_Learning",3
1104300,"Probabilistic_Methods",4
1105033,"Reinforcement_Learning",3
11093,"Probabilistic_Methods",4
696342,"Neural_Networks",1
696343,"Neural_Networks",1
696346,"Neural_Networks",1
28487,"Reinforcement_Learning",3
5038,"Theory",5
195150,"Rule_Learning",2
62676,"Neural_Networks",1
13213,"Reinforcement_Learning",3
576973,"Genetic_Algorithms",6
35797,"Neural_Networks",1
134128,"Reinforcement_Learning",3
166825,"Case_Based",7
175576,"Theory",5
509379,"Theory",5
1113084,"Neural_Networks",1
53942,"Theory",5
642621,"Probabilistic_Methods",4
1131236,"Probabilistic_Methods",4
1112369,"Neural_Networks",1
446610,"Probabilistic_Methods",4
644093,"Probabilistic_Methods",4
411092,"Rule_Learning",2
642641,"Probabilistic_Methods",4
408885,"Probabilistic_Methods",4
1131258,"Probabilistic_Methods",4
1131267,"Probabilistic_Methods",4
13269,"Probabilistic_Methods",4
1104379,"Neural_Networks",1
1114502,"Genetic_Algorithms",6
1107215,"Case_Based",7
83725,"Genetic_Algorithms",6
84459,"Theory",5
642681,"Probabilistic_Methods",4
445938,"Probabilistic_Methods",4
1103676,"Neural_Networks",1
1130568,"Neural_Networks",1
1153003,"Neural_Networks",1
51045,"Probabilistic_Methods",4
12576,"Genetic_Algorithms",6
144330,"Theory",5
105865,"Neural_Networks",1
51052,"Probabilistic_Methods",4
746058,"Neural_Networks",1
1153014,"Probabilistic_Methods",4
641976,"Neural_Networks",1
561789,"Probabilistic_Methods",4
1130586,"Neural_Networks",1
368605,"Neural_Networks",1
1133428,"Neural_Networks",1
1113828,"Neural_Networks",1
129042,"Case_Based",7
129045,"Case_Based",7
6539,"Theory",5
1153031,"Neural_Networks",1
1122580,"Theory",5
1132706,"Case_Based",7
1152308,"Case_Based",7
105899,"Probabilistic_Methods",4
50354,"Neural_Networks",1
1121867,"Theory",5
1113852,"Theory",5
1153056,"Reinforcement_Learning",3
94641,"Genetic_Algorithms",6
1153065,"Genetic_Algorithms",6
1133469,"Reinforcement_Learning",3
35070,"Case_Based",7
576257,"Genetic_Algorithms",6
368657,"Neural_Networks",1
1129018,"Genetic_Algorithms",6
263069,"Genetic_Algorithms",6
1129027,"Genetic_Algorithms",6
1152358,"Genetic_Algorithms",6
1125467,"Probabilistic_Methods",4
1125469,"Probabilistic_Methods",4
72101,"Neural_Networks",1
40922,"Case_Based",7
1153097,"Neural_Networks",1
1109439,"Neural_Networks",1
423463,"Probabilistic_Methods",4
128383,"Case_Based",7
